1	He thanks the rabbit for his deed.	It's broken.
1	The limbs are unusually long for tree squirrels.	The limbs are unusually long for tree squirrels.
0	Large portions of the tunnel have been lined with concrete.	It is long, up to its Uraricoera confluence.
0	He thanks the rabbit for his deed.	He thanks the rabbit for his deed.
1	It is long, up to its Uraricoera confluence.	He's a fatalist.
1	He's a fatalist.	The limbs are unusually long for tree squirrels.
1	They consciously strived to gather them into one contiguous whole.	He's a fatalist.
1	He personally helped raise four regiments.	He personally helped raise four regiments.
1	It is long, up to its Uraricoera confluence.	The limbs are unusually long for tree squirrels.
1	He thanks the rabbit for his deed.	The team's colors are red and green.
0	He thanks the rabbit for his deed.	Large portions of the tunnel have been lined with concrete.
0	It's broken.	The team's colors are red and green.
1	Large portions of the tunnel have been lined with concrete.	It's broken.
0	It's broken.	He later withdrew from this election, due to "unforeseen circumstances".
1	The limbs are unusually long for tree squirrels.	It's broken.
1	Large portions of the tunnel have been lined with concrete.	He's a fatalist.
0	It's broken.	It is long, up to its Uraricoera confluence.
1	He later withdrew from this election, due to "unforeseen circumstances".	It's broken.
1	It's broken.	It's broken.
1	He later withdrew from this election, due to "unforeseen circumstances".	He personally helped raise four regiments.
0	The team's colors are red and green.	It is long, up to its Uraricoera confluence.
1	He personally helped raise four regiments.	He's a fatalist.
0	He thanks the rabbit for his deed.	He later withdrew from this election, due to "unforeseen circumstances".
1	The team's colors are red and green.	He's a fatalist.
0	He's a fatalist.	Large portions of the tunnel have been lined with concrete.
0	He thanks the rabbit for his deed.	He personally helped raise four regiments.
0	The limbs are unusually long for tree squirrels.	It is long, up to its Uraricoera confluence.
1	He later withdrew from this election, due to "unforeseen circumstances".	He thanks the rabbit for his deed.
0	It's broken.	They consciously strived to gather them into one contiguous whole.
0	The limbs are unusually long for tree squirrels.	He personally helped raise four regiments.
0	It's broken.	The limbs are unusually long for tree squirrels.
0	He's a fatalist.	He's a fatalist.
1	They consciously strived to gather them into one contiguous whole.	He personally helped raise four regiments.
0	He thanks the rabbit for his deed.	They consciously strived to gather them into one contiguous whole.
0	The limbs are unusually long for tree squirrels.	They consciously strived to gather them into one contiguous whole.
1	It is long, up to its Uraricoera confluence.	He personally helped raise four regiments.
0	He's a fatalist.	They consciously strived to gather them into one contiguous whole.
0	The team's colors are red and green.	He thanks the rabbit for his deed.
1	He's a fatalist.	It's broken.
0	He personally helped raise four regiments.	Large portions of the tunnel have been lined with concrete.
1	It is long, up to its Uraricoera confluence.	He thanks the rabbit for his deed.
1	Large portions of the tunnel have been lined with concrete.	The team's colors are red and green.
1	It is long, up to its Uraricoera confluence.	Large portions of the tunnel have been lined with concrete.
1	Large portions of the tunnel have been lined with concrete.	He thanks the rabbit for his deed.
0	He's a fatalist.	He thanks the rabbit for his deed.
1	The limbs are unusually long for tree squirrels.	The team's colors are red and green.
0	The team's colors are red and green.	He later withdrew from this election, due to "unforeseen circumstances".
0	He personally helped raise four regiments.	It is long, up to its Uraricoera confluence.
1	Large portions of the tunnel have been lined with concrete.	He personally helped raise four regiments.
1	He personally helped raise four regiments.	He thanks the rabbit for his deed.
